Q3-ruu-32-lsq-8-memcopy.result:sim_IPC                      1.1503 
Q3-ruu-32-lsq-8-pi.result:sim_IPC                      1.1423 
Q3-ruu-32-lsq-8-whetstone.result:sim_IPC                      1.4980 
Q3-ruu-64-lsq-16-fibonacci.result:sim_IPC                      2.1670 
Q3-ruu-64-lsq-16-matmul.result:sim_IPC                      3.2355 
Q3-ruu-64-lsq-16-memcopy.result:sim_IPC                      1.5996 
Q3-ruu-64-lsq-16-pi.result:sim_IPC                      1.5190 
Q3-ruu-64-lsq-16-whetstone.result:sim_IPC                      1.6181 
Q3-ruu-64-lsq-32-fibonacci.result:sim_IPC                      2.1884 
Q3-ruu-64-lsq-32-matmul.result:sim_IPC                      3.9410 
Q3-ruu-64-lsq-32-memcopy.result:sim_IPC                      1.8859 
Q3-ruu-64-lsq-32-pi.result:sim_IPC                      1.6961 
Q3-ruu-64-lsq-32-whetstone.result:sim_IPC                      1.7713 
